[INFO] [1775501112.998385612] [pi_metrics_publisher]: Pi Metrics | t: 2.157 | CPU: 33.3% | Mem: 11.6% | Temp: 68.2 C
[INFO] [1775501113.048351575] [pi_metrics_publisher]: Pi Metrics | t: 2.207 | CPU: 22.2% | Mem: 11.6% | Temp: 69.1 C
[INFO] [1775501113.098440538] [pi_metrics_publisher]: Pi Metrics | t: 2.257 | CPU: 30.0% | Mem: 11.6% | Temp: 68.2 C
[INFO] [1775501113.148360686] [pi_metrics_publisher]: Pi Metrics | t: 2.307 | CPU: 26.3% | Mem: 11.6% | Temp: 68.2 C
[INFO] [1775501113.198356575] [pi_metrics_publisher]: Pi Metrics | t: 2.357 | CPU: 26.3% | Mem: 11.6% | Temp: 68.2 C
[INFO] [1775501113.248369908] [pi_metrics_publisher]: Pi Metrics | t: 2.407 | CPU: 30.0% | Mem: 11.6% | Temp: 69.1 C
[INFO] [1775501113.298411075] [pi_metrics_publisher]: Pi Metrics | t: 2.457 | CPU: 60.0% | Mem: 11.6% | Temp: 68.2 C
[INFO] [1775501113.349411889] [pi_metrics_publisher]: Pi Metrics | t: 2.508 | CPU: 66.7% | Mem: 11.6% | Temp: 68.7 C
[INFO] [1775501113.401602704] [pi_metrics_publisher]: Pi Metrics | t: 2.560 | CPU: 70.0% | Mem: 11.7% | Temp: 68.2 C
[INFO] [1775501113.448526426] [pi_metrics_publisher]: Pi Metrics | t: 2.607 | CPU: 37.5% | Mem: 11.7% | Temp: 68.7 C
[INFO] [1775501113.498421130] [pi_metrics_publisher]: Pi Metrics | t: 2.657 | CPU: 42.1% | Mem: 11.7% | Temp: 69.6 C
[INFO] [1775501113.548437389] [pi_metrics_publisher]: Pi Metrics | t: 2.707 | CPU: 36.8% | Mem: 11.7% | Temp: 68.7 C
[INFO] [1775501113.598497482] [pi_metrics_publisher]: Pi Metrics | t: 2.757 | CPU: 66.7% | Mem: 11.6% | Temp: 68.7 C
