Time: 1135.75 | CPU: 15.7895 | Mem: 50.1052 | Temp: 62.322
Time: 1135.8 | CPU: 25 | Mem: 50.1052 | Temp: 63.296
Time: 1135.85 | CPU: 21.0526 | Mem: 50.1052 | Temp: 61.835
Time: 1135.9 | CPU: 22.2222 | Mem: 50.1052 | Temp: 62.809
Time: 1135.95 | CPU: 10.5263 | Mem: 50.1052 | Temp: 62.809
Time: 1136 | CPU: 15.7895 | Mem: 50.1052 | Temp: 62.809
Time: 1136.05 | CPU: 16.6667 | Mem: 50.1052 | Temp: 62.809
Time: 1136.1 | CPU: 21.0526 | Mem: 50.1052 | Temp: 62.809
Time: 1136.15 | CPU: 15 | Mem: 50.1052 | Temp: 62.809
Time: 1136.2 | CPU: 20 | Mem: 50.1052 | Temp: 62.322
Time: 1136.25 | CPU: 15.7895 | Mem: 50.1052 | Temp: 62.809
Time: 1136.3 | CPU: 25 | Mem: 50.105 | Temp: 61.835
Time: 1136.35 | CPU: 20 | Mem: 50.105 | Temp: 62.322
Time: 1136.4 | CPU: 26.3158 | Mem: 50.105 | Temp: 63.296
Time: 1136.45 | CPU: 44.4444 | Mem: 50.108 | Temp: 63.296
Time: 1136.5 | CPU: 57.1429 | Mem: 50.108 | Temp: 63.783
Time: 1136.55 | CPU: 95 | Mem: 50.1334 | Temp: 63.296
Time: 1136.6 | CPU: 78.9474 | Mem: 50.1492 | Temp: 64.27
Time: 1136.65 | CPU: 42.1053 | Mem: 50.1492 | Temp: 63.296
Time: 1136.7 | CPU: 47.619 | Mem: 50.1522 | Temp: 63.783
Time: 1136.75 | CPU: 21.0526 | Mem: 50.0545 | Temp: 64.27
Time: 1136.8 | CPU: 22.2222 | Mem: 49.953 | Temp: 63.783
Time: 1136.85 | CPU: 25 | Mem: 49.953 | Temp: 63.783
Time: 1136.9 | CPU: 16.6667 | Mem: 49.953 | Temp: 62.809
Time: 1136.95 | CPU: 23.8095 | Mem: 49.953 | Temp: 63.783
Time: 1137 | CPU: 50 | Mem: 49.8911 | Temp: 63.783
Time: 1137.05 | CPU: 26.6667 | Mem: 49.8911 | Temp: 64.27
Time: 1137.1 | CPU: 90 | Mem: 49.9165 | Temp: 64.27
Time: 1137.15 | CPU: 47.3684 | Mem: 49.9195 | Temp: 63.783
Time: 1137.2 | CPU: 75 | Mem: 50.0159 | Temp: 64.27
Time: 1137.25 | CPU: 16.6667 | Mem: 50.0207 | Temp: 63.783
Time: 1137.3 | CPU: 20 | Mem: 50.0216 | Temp: 62.809
Time: 1137.35 | CPU: 21.0526 | Mem: 50.0216 | Temp: 62.809
Time: 1137.4 | CPU: 33.3333 | Mem: 50.0216 | Temp: 63.783
Time: 1137.45 | CPU: 10.5263 | Mem: 50.0216 | Temp: 63.296
Time: 1137.5 | CPU: 21.0526 | Mem: 50.0216 | Temp: 62.809
Time: 1137.55 | CPU: 15.7895 | Mem: 50.0216 | Temp: 62.322
Time: 1137.6 | CPU: 30 | Mem: 50.0216 | Temp: 63.296
Time: 1137.65 | CPU: 27.7778 | Mem: 50.0216 | Temp: 63.296
Time: 1137.7 | CPU: 30 | Mem: 50.0216 | Temp: 63.296
Time: 1137.75 | CPU: 11.1111 | Mem: 50.0216 | Temp: 63.296
Time: 1137.8 | CPU: 44.4444 | Mem: 50.0438 | Temp: 64.27
Time: 1137.85 | CPU: 38.8889 | Mem: 50.0878 | Temp: 64.27
Time: 1137.9 | CPU: 57.1429 | Mem: 50.1069 | Temp: 63.783
Time: 1137.95 | CPU: 52.6316 | Mem: 50.1638 | Temp: 63.783
Time: 1138 | CPU: 57.8947 | Mem: 50.1967 | Temp: 62.809
Time: 1138.05 | CPU: 22.2222 | Mem: 50.0197 | Temp: 62.809
Time: 1138.1 | CPU: 26.3158 | Mem: 50.0197 | Temp: 63.783
Time: 1138.15 | CPU: 10.5263 | Mem: 50.0197 | Temp: 63.296
Time: 1138.2 | CPU: 16.6667 | Mem: 50.0193 | Temp: 63.296
Time: 1138.25 | CPU: 15 | Mem: 50.0193 | Temp: 62.809
Time: 1138.3 | CPU: 36.8421 | Mem: 50.0246 | Temp: 63.296
Time: 1138.35 | CPU: 44.4444 | Mem: 50.0274 | Temp: 62.809
Time: 1138.4 | CPU: 47.619 | Mem: 50.0463 | Temp: 63.783
Time: 1138.45 | CPU: 38.0952 | Mem: 50.0494 | Temp: 62.809
Time: 1138.5 | CPU: 40 | Mem: 50.0876 | Temp: 63.296
Time: 1138.55 | CPU: 15 | Mem: 50.0876 | Temp: 62.809
Time: 1138.6 | CPU: 22.2222 | Mem: 50.0876 | Temp: 63.783
Time: 1138.65 | CPU: 15.7895 | Mem: 50.0876 | Temp: 63.296
Time: 1138.7 | CPU: 31.5789 | Mem: 50.0876 | Temp: 63.296
Time: 1138.75 | CPU: 5.88235 | Mem: 50.0876 | Temp: 63.296
Time: 1138.8 | CPU: 21.0526 | Mem: 50.0876 | Temp: 63.296
Time: 1138.85 | CPU: 10.5263 | Mem: 50.0876 | Temp: 63.296
Time: 1138.9 | CPU: 25 | Mem: 50.0876 | Temp: 63.296
Time: 1138.95 | CPU: 15 | Mem: 50.0876 | Temp: 62.322
Time: 1139 | CPU: 21.0526 | Mem: 50.0876 | Temp: 62.809
Time: 1139.05 | CPU: 15.7895 | Mem: 50.0876 | Temp: 64.27
Time: 1139.1 | CPU: 26.3158 | Mem: 50.0876 | Temp: 62.809
Time: 1139.15 | CPU: 36.8421 | Mem: 50.1002 | Temp: 62.809
Time: 1139.2 | CPU: 30 | Mem: 50.0534 | Temp: 62.322
Time: 1139.25 | CPU: 20 | Mem: 50.0534 | Temp: 62.322
Time: 1139.3 | CPU: 20 | Mem: 50.0525 | Temp: 63.296
Time: 1139.35 | CPU: 23.5294 | Mem: 50.0525 | Temp: 63.296
Time: 1139.4 | CPU: 47.619 | Mem: 50.0649 | Temp: 63.296
Time: 1139.45 | CPU: 38.8889 | Mem: 50.074 | Temp: 63.783
Time: 1139.5 | CPU: 31.5789 | Mem: 50.1057 | Temp: 63.783
Time: 1139.55 | CPU: 33.3333 | Mem: 50.1089 | Temp: 62.809
Time: 1139.6 | CPU: 59.0909 | Mem: 50.1117 | Temp: 64.27
Time: 1139.65 | CPU: 52.9412 | Mem: 50.1149 | Temp: 63.783
Time: 1139.7 | CPU: 60 | Mem: 50.118 | Temp: 63.783
Time: 1139.75 | CPU: 42.1053 | Mem: 50.118 | Temp: 64.27
Time: 1139.8 | CPU: 55 | Mem: 50.118 | Temp: 63.296
Time: 1139.85 | CPU: 42.1053 | Mem: 50.118 | Temp: 63.783
Time: 1139.9 | CPU: 38.8889 | Mem: 50.1212 | Temp: 64.27
Time: 1139.95 | CPU: 19.0476 | Mem: 50.1212 | Temp: 63.783
Time: 1140 | CPU: 25 | Mem: 50.1212 | Temp: 62.322
Time: 1140.05 | CPU: 15 | Mem: 50.1212 | Temp: 62.809
Time: 1140.1 | CPU: 21.0526 | Mem: 50.1212 | Temp: 62.809
Time: 1140.15 | CPU: 15.7895 | Mem: 50.1212 | Temp: 62.809
Time: 1140.2 | CPU: 21.0526 | Mem: 50.1212 | Temp: 63.783
Time: 1140.25 | CPU: 11.1111 | Mem: 50.1212 | Temp: 64.27
Time: 1140.3 | CPU: 28.5714 | Mem: 50.1209 | Temp: 62.809
Time: 1140.35 | CPU: 55 | Mem: 50.1209 | Temp: 62.322
Time: 1140.4 | CPU: 57.8947 | Mem: 50.1209 | Temp: 63.783
Time: 1140.45 | CPU: 21.0526 | Mem: 50.1209 | Temp: 63.296
Time: 1140.5 | CPU: 36.8421 | Mem: 50.1238 | Temp: 63.783
Time: 1140.55 | CPU: 17.6471 | Mem: 50.0764 | Temp: 64.27
Time: 1140.6 | CPU: 28.5714 | Mem: 50.0758 | Temp: 63.296
Time: 1140.65 | CPU: 10.5263 | Mem: 50.0757 | Temp: 62.809
Time: 1140.7 | CPU: 33.3333 | Mem: 50.0757 | Temp: 63.783
Time: 1140.75 | CPU: 10.5263 | Mem: 50.0757 | Temp: 62.322
Time: 1140.8 | CPU: 21.0526 | Mem: 50.0757 | Temp: 63.296
Time: 1140.85 | CPU: 5.55556 | Mem: 50.0757 | Temp: 62.809
Time: 1140.9 | CPU: 31.5789 | Mem: 50.0757 | Temp: 63.296
Time: 1140.95 | CPU: 15 | Mem: 50.0757 | Temp: 62.809
Time: 1141 | CPU: 16.6667 | Mem: 50.0757 | Temp: 62.809
Time: 1141.05 | CPU: 5.55556 | Mem: 50.0757 | Temp: 63.296
Time: 1141.1 | CPU: 20 | Mem: 50.0757 | Temp: 62.809
Time: 1141.15 | CPU: 19.0476 | Mem: 50.0757 | Temp: 63.296
Time: 1141.2 | CPU: 26.3158 | Mem: 50.0757 | Temp: 62.809
Time: 1141.25 | CPU: 10.5263 | Mem: 50.0757 | Temp: 62.809
Time: 1141.3 | CPU: 21.0526 | Mem: 50.0757 | Temp: 61.835
Time: 1141.35 | CPU: 10 | Mem: 50.0754 | Temp: 62.809
Time: 1141.4 | CPU: 22.2222 | Mem: 50.0784 | Temp: 62.809
Time: 1141.45 | CPU: 20 | Mem: 50.0784 | Temp: 62.809
Time: 1141.5 | CPU: 40 | Mem: 50.0782 | Temp: 63.296
Time: 1141.55 | CPU: 41.1765 | Mem: 50.0846 | Temp: 63.783
Time: 1141.6 | CPU: 80.9524 | Mem: 50.0941 | Temp: 63.783
Time: 1141.66 | CPU: 96 | Mem: 50.1163 | Temp: 64.27
Time: 1141.7 | CPU: 78.5714 | Mem: 50.1195 | Temp: 63.783
Time: 1141.75 | CPU: 36.8421 | Mem: 50.1193 | Temp: 63.783
Time: 1141.8 | CPU: 38.0952 | Mem: 50.1193 | Temp: 63.783
Time: 1141.85 | CPU: 26.3158 | Mem: 50.0221 | Temp: 63.783
Time: 1141.9 | CPU: 26.3158 | Mem: 50.0252 | Temp: 63.296
Time: 1141.95 | CPU: 15 | Mem: 50.0252 | Temp: 63.296
Time: 1142 | CPU: 15.7895 | Mem: 50.0252 | Temp: 63.783
Time: 1142.05 | CPU: 15 | Mem: 50.0252 | Temp: 63.296
Time: 1142.1 | CPU: 42.1053 | Mem: 50.028 | Temp: 62.809
Time: 1142.15 | CPU: 29.4118 | Mem: 50.028 | Temp: 62.809
Time: 1142.2 | CPU: 47.3684 | Mem: 50.0403 | Temp: 62.322
Time: 1142.25 | CPU: 17.6471 | Mem: 49.9888 | Temp: 62.322
Time: 1142.3 | CPU: 47.619 | Mem: 50.0156 | Temp: 63.783
Time: 1142.35 | CPU: 55.5556 | Mem: 50.0249 | Temp: 63.783
Time: 1142.4 | CPU: 90.9091 | Mem: 50.0871 | Temp: 63.783
Time: 1142.45 | CPU: 29.4118 | Mem: 50.1224 | Temp: 64.27
Time: 1142.5 | CPU: 28.5714 | Mem: 50.1224 | Temp: 63.783
Time: 1142.55 | CPU: 15 | Mem: 50.1224 | Temp: 62.809
Time: 1142.6 | CPU: 26.3158 | Mem: 50.1239 | Temp: 63.296
Time: 1142.65 | CPU: 21.0526 | Mem: 50.1239 | Temp: 63.296
Time: 1142.7 | CPU: 30 | Mem: 50.127 | Temp: 63.296
Time: 1142.75 | CPU: 15 | Mem: 50.127 | Temp: 62.322
Time: 1142.8 | CPU: 21.0526 | Mem: 50.1298 | Temp: 62.322
Time: 1142.85 | CPU: 10.5263 | Mem: 50.1298 | Temp: 62.322
Time: 1142.9 | CPU: 21.0526 | Mem: 50.1298 | Temp: 62.809
Time: 1142.95 | CPU: 15.7895 | Mem: 50.1298 | Temp: 62.322
Time: 1143 | CPU: 25 | Mem: 50.1298 | Temp: 63.783
Time: 1143.05 | CPU: 20 | Mem: 50.1298 | Temp: 62.322
Time: 1143.1 | CPU: 23.8095 | Mem: 50.1298 | Temp: 63.296
Time: 1143.15 | CPU: 10.5263 | Mem: 50.1298 | Temp: 63.296
Time: 1143.2 | CPU: 28.5714 | Mem: 50.1298 | Temp: 62.809
Time: 1143.25 | CPU: 15.7895 | Mem: 50.1298 | Temp: 62.809
Time: 1143.3 | CPU: 20 | Mem: 50.1297 | Temp: 62.322
Time: 1143.35 | CPU: 10.5263 | Mem: 50.1297 | Temp: 62.809
Time: 1143.4 | CPU: 52.381 | Mem: 50.1327 | Temp: 63.296
Time: 1143.45 | CPU: 47.3684 | Mem: 50.1327 | Temp: 63.783
Time: 1143.5 | CPU: 33.3333 | Mem: 50.134 | Temp: 63.296
Time: 1143.55 | CPU: 36.8421 | Mem: 50.1404 | Temp: 62.809
