time,cpu,mem,temp
10.057,100.0,14.6,71.6
10.108,90.5,14.7,71.1
10.157,100.0,14.7,71.6
10.207,50.0,14.7,71.1
10.257,38.9,14.7,70.6
10.310,52.6,14.7,70.6
10.358,94.7,14.7,71.1
10.411,95.2,14.7,71.6
10.457,83.3,14.7,72.1
10.508,84.2,14.7,71.6
10.558,66.7,14.7,71.1
10.609,85.0,14.8,72.1
10.658,89.5,14.8,71.6
10.707,88.9,14.8,71.6
10.760,76.2,14.8,71.6
10.807,78.9,14.8,71.6
10.857,75.0,14.9,72.1
10.907,68.4,14.9,71.1
10.957,66.7,14.9,72.1
11.007,36.8,14.9,71.1
11.057,50.0,14.8,71.1
11.107,35.3,14.9,69.6
11.157,50.0,14.9,71.1
11.207,55.6,14.8,71.6
11.257,36.8,14.8,71.6
11.307,42.9,14.8,70.1
11.357,35.0,14.9,70.1
11.407,57.1,14.9,70.6
11.457,76.5,14.8,71.6
11.507,77.8,14.9,71.6
11.558,82.6,14.9,71.6
11.608,88.9,14.9,71.6
11.659,100.0,14.9,71.1
11.708,95.2,14.9,71.6
11.758,95.0,14.9,71.6
11.808,100.0,15.0,71.6
11.858,94.7,15.0,71.1
11.907,100.0,15.0,71.6
11.980,100.0,15.0,72.5
12.012,100.0,15.0,72.1
12.098,100.0,15.1,72.5
12.108,100.0,15.1,72.5
12.160,100.0,15.1,71.1
12.208,68.4,15.2,72.1
12.258,78.9,15.2,72.1
12.307,85.7,15.2,72.1
12.358,89.5,15.1,72.5
12.407,82.4,15.1,72.1
12.457,77.3,15.1,72.1
12.507,83.3,15.2,71.6
12.557,78.9,15.2,72.5
12.607,47.4,15.2,73.0
12.657,50.0,15.2,72.5
12.707,52.9,15.2,72.5
12.757,57.1,15.2,72.5
12.807,83.3,15.2,72.1
12.857,81.8,15.2,73.0
12.908,84.2,15.2,72.5
12.957,85.0,15.2,72.5
13.007,85.0,15.2,72.5
13.057,88.9,15.3,72.5
13.107,63.2,15.3,73.0
13.157,60.0,15.3,73.0
13.207,38.9,15.3,72.1
13.257,78.9,15.3,71.6
